Iteration,15th percentile,50th percentile,85th percentile
608,-1.210343039,0.035262678,1.203378725
609,-1.231860012,0.022088521,1.201298583
610,-1.220289576,0.024126113,1.205730921
611,-1.238753629,0.03162255,1.211073381
612,-1.230304992,0.026979995,1.216151494
613,-1.198650712,0.017257221,1.19870134
614,-1.221925271,0.041694945,1.197469211
615,-1.227057511,0.006550203,1.216270077
616,-1.210263389,0.015827615,1.207452023
617,-1.204894829,-0.00254339,1.220681745
618,-1.196437073,-0.00034025,1.195285821
619,-1.199616367,0.029223993,1.213059515
620,-1.220085037,0.018117017,1.195743728
621,-1.205658317,0.008641184,1.21226483
622,-1.193890208,0.008591733,1.229632807
623,-1.212752712,0.002679933,1.221232831
624,-1.198980194,0.003553773,1.212576908
625,-1.224691379,0.011887217,1.218355322
626,-1.193211633,-0.015399164,1.215396369
627,-1.215790951,0.007416064,1.20960719
628,-1.198309731,0.019466653,1.191216463
629,-1.221110684,0.014839747,1.223560429
630,-1.214571702,-0.003864008,1.226948154
631,-1.222939605,0.023336127,1.219760948
632,-1.208968425,0.034771398,1.193995541
633,-1.233153164,0.022939414,1.215942055
634,-1.231688929,0.015434781,1.21670441
635,-1.232630348,0.016696331,1.193504834
636,-1.217974037,-0.002211278,1.217888689
637,-1.223124218,0.007137841,1.205609
638,-1.210947782,0.018506926,1.217757112
639,-1.234760225,0.013799052,1.193177348
640,-1.218488359,0.00854192,1.224751616
641,-1.221194434,0.046853561,1.16471287
642,-1.224065304,0.010100879,1.234709293
643,-1.223834592,0.021765004,1.222701663
644,-1.224638379,0.02708424,1.184982187
645,-1.207408863,0.017070701,1.211433053
646,-1.215247595,0.018163948,1.19579373
647,-1.22866168,-0.010877983,1.225098431
648,-1.233556801,0.033434575,1.221482825
649,-1.207643187,0.024840536,1.200811285
650,-1.223781699,0.034062261,1.211880124
651,-1.225210434,0.019915001,1.200062954
652,-1.207867885,0.013160157,1.205539346
653,-1.227794832,0.025441685,1.214024502
654,-1.224934381,0.022701801,1.20431422
655,-1.199660075,0.018068342,1.220611095
656,-1.206351215,0.009932535,1.218953985
657,-1.209774369,0.02462641,1.198054081
658,-1.201336819,0.015982789,1.206706017
659,-1.203829169,0.006041463,1.212069684
660,-1.213348442,0.020819734,1.193430662
661,-1.23322503,0.046204528,1.207430577
